iter	MultiClass
0	2.078899587
1	1.903939566
2	1.763689921
3	1.643885622
4	1.544601213
5	1.454817847
6	1.374299818
7	1.304795637
8	1.242531067
9	1.185402508
10	1.130581606
11	1.081758826
12	1.03610026
13	0.9944313727
14	0.9559811156
15	0.9194599686
16	0.88390414
17	0.8509737168
18	0.8191986496
19	0.7897034776
20	0.7634510206
21	0.73758551
22	0.7139359009
23	0.6908342634
24	0.670011827
25	0.6504421253
26	0.6306787075
27	0.6124421836
28	0.5941490233
29	0.5767163416
30	0.5602297525
31	0.5441366341
32	0.5288286525
33	0.5146522202
34	0.500316602
35	0.4877051337
36	0.4751569302
37	0.4635387516
38	0.4524759017
39	0.4414685085
40	0.4301600605
41	0.418847101
42	0.4088689157
43	0.4001113642
44	0.390809832
45	0.3813419995
46	0.3727263515
47	0.3645505036
48	0.356260897
49	0.3482321581
50	0.3406326695
51	0.3335952423
52	0.3261950571
53	0.319706469
54	0.3130020933
55	0.3066858786
56	0.3006717598
57	0.2944122857
58	0.2888834288
59	0.2832111242
60	0.2777463131
61	0.2728276863
62	0.2676689099
63	0.2633395696
64	0.258254313
65	0.2533807664
66	0.2486467287
67	0.2441321573
68	0.2397477595
69	0.2353001837
70	0.230878757
71	0.2275518508
72	0.2233886198
73	0.2195957295
74	0.2161523403
75	0.2125709517
76	0.209265128
77	0.2058193963
78	0.2027935795
79	0.1997806552
80	0.1965029068
81	0.1934990922
82	0.1906851242
83	0.1877929861
84	0.1847844518
85	0.182167358
86	0.1794633834
87	0.1769851565
88	0.1742735819
89	0.171793481
90	0.1693965302
91	0.1672939016
92	0.1652362143
93	0.1629014179
94	0.1606246807
95	0.1585210978
96	0.1563532783
97	0.1543340253
98	0.1522473778
99	0.1502360373
100	0.1483773585
101	0.1465895273
102	0.1446888916
103	0.1432535894
104	0.1412405137
105	0.1393899816
106	0.1377469863
107	0.1356525391
108	0.1340688785
109	0.1324955683
110	0.1309685963
111	0.1295284008
112	0.1281621503
113	0.1267014537
114	0.1250158162
115	0.1235675261
116	0.1221520137
117	0.1207742763
118	0.1194477962
119	0.1183318636
120	0.1172038021
121	0.1160746907
122	0.115115107
123	0.114143403
124	0.1134024007
125	0.1123147863
126	0.111046461
127	0.1099669499
128	0.1090437184
129	0.1081445972
130	0.1070296536
131	0.1058922221
132	0.1045540902
133	0.1033319382
134	0.1025717274
135	0.1016629152
136	0.1009164383
137	0.1001655801
138	0.0991764722
139	0.09835654491
140	0.09736875576
141	0.0963818342
142	0.09549549268
143	0.09451973704
144	0.09390248812
145	0.09315693089
146	0.09257321442
147	0.09179913074
148	0.09107933234
149	0.09052189527
150	0.08980272153
151	0.08904293578
152	0.08850259029
153	0.08768261094
154	0.08693296735
155	0.08594092699
156	0.08510475836
157	0.08436888347
158	0.08410642796
159	0.08344926109
160	0.08292798528
161	0.0825099964
162	0.08201454884
163	0.08137463839
164	0.0809077433
165	0.08034386869
166	0.07994876691
167	0.07937321449
168	0.07863580396
169	0.07799518208
170	0.07758023846
171	0.0769596493
172	0.07654214627
173	0.07604085113
174	0.07559293897
175	0.07515111732
176	0.07463792748
177	0.07416259072
178	0.07371883433
179	0.07323679975
180	0.07273643727
181	0.07218418406
182	0.07165398506
183	0.0710283335
184	0.07059800745
185	0.06983229604
186	0.0692645216
187	0.06870914939
188	0.06837994563
189	0.0679395208
190	0.06746002826
191	0.06722274596
192	0.06690998308
193	0.06657892266
194	0.06620467348
195	0.06588322166
196	0.06543887965
197	0.064999253
198	0.06447917448
199	0.06423548066
200	0.06377729187
201	0.06351673205
202	0.06305425735
203	0.06283315999
204	0.06258834264
205	0.06228364837
206	0.06195516471
207	0.06166590926
208	0.06143950223
209	0.06117948466
210	0.06084108007
211	0.0605202746
212	0.06026749709
213	0.0599982223
214	0.05982605284
215	0.05951625713
216	0.05915208937
217	0.05888005564
218	0.05847720192
219	0.0581577282
220	0.05798659986
221	0.05760161855
222	0.05738621693
223	0.05685494646
224	0.05653976299
225	0.05630415081
226	0.05612891874
227	0.05580017914
228	0.05552936871
229	0.05538975133
230	0.05510303793
231	0.05496026685
232	0.05471006609
233	0.05439312575
234	0.05408136494
235	0.05374131626
236	0.05345500195
237	0.05321993635
238	0.05302756932
239	0.05268232377
240	0.05240921422
241	0.05211674433
242	0.05202670989
243	0.05183128894
244	0.05162497536
245	0.05131481092
246	0.05119766854
247	0.05102616712
248	0.05062925641
249	0.05054682208
250	0.05048006948
251	0.05038215296
252	0.05021257326
253	0.05000804692
